schema;table;column_id;column;fk_relation;relationship_entity;r_private_key;r_column_id;domain
Purchasing;5;ProductID;>-;Production.Product;ProductID;1;FK_PurchaseOrderDetail_Product_ProductID;int
Purchasing;6;UnitPrice;NULL;NULL;NULL;NULL;NULL;money
Purchasing;7;LineTotal;NULL;NULL;NULL;NULL;NULL;money
Purchasing;8;ReceivedQty;NULL;NULL;NULL;NULL;NULL;decimal
Purchasing;9;RejectedQty;NULL;NULL;NULL;NULL;NULL;decimal
Purchasing;10;StockedQty;NULL;NULL;NULL;NULL;NULL;decimal
Purchasing;11;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;1;PurchaseOrderID;NULL;NULL;NULL;NULL;NULL;int
Purchasing;2;RevisionNumber;NULL;NULL;NULL;NULL;NULL;tinyint
Purchasing;3;Status;NULL;NULL;NULL;NULL;NULL;tinyint
Purchasing;4;EmployeeID;>-;HumanResources.Employee;BusinessEntityID;1;FK_PurchaseOrderHeader_Employee_EmployeeID;int
Purchasing;5;VendorID;>-;Purchasing.Vendor;BusinessEntityID;1;FK_PurchaseOrderHeader_Vendor_VendorID;int
Purchasing;6;ShipMethodID;>-;Purchasing.ShipMethod;ShipMethodID;1;FK_PurchaseOrderHeader_ShipMethod_ShipMethodID;int
Purchasing;7;OrderDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;8;ShipDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;9;SubTotal;NULL;NULL;NULL;NULL;NULL;money
Purchasing;10;TaxAmt;NULL;NULL;NULL;NULL;NULL;money
Purchasing;11;Freight;NULL;NULL;NULL;NULL;NULL;money
Purchasing;12;TotalDue;NULL;NULL;NULL;NULL;NULL;money
Purchasing;13;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
